epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.276,1.34408,0.9984,1.06037,0.67187,0.4166,0.4469,0.25506,1.22839,0.72692,0.99047,0.000333181,0.000333181,0.000333181
2,610.496,1.29128,0.78698,1.0181,0.69266,0.44081,0.4837,0.27789,1.21392,0.68098,0.97836,0.000653317,0.000653317,0.000653317
3,901.059,1.2805,0.74991,1.00926,0.6976,0.45198,0.49563,0.28603,1.20787,0.66405,0.97274,0.000960254,0.000960254,0.000960254
4,1191.46,1.27384,0.72861,1.00837,0.71704,0.45912,0.50607,0.29182,1.20561,0.65598,0.97295,0.0009406,0.0009406,0.0009406
5,1480.71,1.26959,0.71644,1.01509,0.71478,0.46399,0.51473,0.2965,1.2,0.65276,0.97517,0.0009208,0.0009208,0.0009208
6,1770.35,1.2639,0.70378,1.00187,0.71207,0.47121,0.52127,0.30198,1.19381,0.64445,0.96363,0.000901,0.000901,0.000901
7,2058.67,1.25787,0.69447,0.999,0.72678,0.4682,0.52392,0.30305,1.19407,0.64226,0.96439,0.0008812,0.0008812,0.0008812
8,2346.57,1.25122,0.68889,0.99541,0.63156,0.47554,0.53006,0.30809,1.19088,0.64131,0.96181,0.0008614,0.0008614,0.0008614
9,2635.88,1.24905,0.68318,0.99656,0.63298,0.4775,0.53628,0.31135,1.18675,0.6347,0.96448,0.0008416,0.0008416,0.0008416
10,2924.29,1.24754,0.67934,0.99305,0.63281,0.47785,0.53714,0.31167,1.18634,0.63512,0.97289,0.0008218,0.0008218,0.0008218
11,3213.04,1.2455,0.67592,0.99787,0.62966,0.48493,0.53737,0.31185,1.18536,0.63073,0.96001,0.000802,0.000802,0.000802
12,3501.19,1.24046,0.67033,0.99299,0.63239,0.48549,0.54194,0.31513,1.18046,0.62686,0.96406,0.0007822,0.0007822,0.0007822
13,3789.84,1.23776,0.66514,0.98917,0.63413,0.48488,0.54368,0.31618,1.17858,0.62401,0.95846,0.0007624,0.0007624,0.0007624
14,4078.6,1.23914,0.66482,0.98693,0.63792,0.48706,0.54573,0.31699,1.17848,0.62331,0.95822,0.0007426,0.0007426,0.0007426
15,4367.59,1.23291,0.66003,0.98801,0.73894,0.48694,0.54683,0.31827,1.17735,0.62299,0.95703,0.0007228,0.0007228,0.0007228
16,4655.2,1.23155,0.65759,0.98546,0.6269,0.49447,0.54718,0.32032,1.17496,0.61932,0.96178,0.000703,0.000703,0.000703
