epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.448,1.45632,1.13161,1.13146,0.69279,0.44753,0.4975,0.28004,1.40245,0.90092,1.07984,0.00333181,0.00333181,0.00333181
2,778.834,1.43597,0.93563,1.11221,0.59776,0.4617,0.51418,0.28779,1.38917,0.86921,1.08519,0.00653317,0.00653317,0.00653317
3,1160.02,1.45287,0.94448,1.12604,0.70369,0.46625,0.51911,0.28916,1.39992,0.87535,1.09467,0.00960254,0.00960254,0.00960254
4,1539.53,1.4497,0.93222,1.13018,0.69184,0.46842,0.517,0.28896,1.39026,0.85861,1.0922,0.009406,0.009406,0.009406
5,1919.2,1.43676,0.90944,1.12255,0.70666,0.48182,0.52981,0.29824,1.38715,0.84706,1.09013,0.009208,0.009208,0.009208
6,2298.34,1.42356,0.88967,1.11579,0.7161,0.48763,0.539,0.30481,1.38005,0.83127,1.08682,0.00901,0.00901,0.00901
7,2677.69,1.41548,0.8763,1.11051,0.70898,0.49598,0.54608,0.30943,1.37398,0.8219,1.08004,0.008812,0.008812,0.008812
8,3056.55,1.40817,0.86556,1.10705,0.72162,0.49626,0.54978,0.31272,1.36781,0.81535,1.07826,0.008614,0.008614,0.008614
9,3436.18,1.40101,0.85474,1.10207,0.72266,0.50022,0.55577,0.31719,1.36615,0.80677,1.07839,0.008416,0.008416,0.008416
10,3815.48,1.39726,0.84565,1.0999,0.72979,0.50258,0.55875,0.31838,1.36329,0.80291,1.07587,0.008218,0.008218,0.008218
11,4194.85,1.39136,0.83863,1.09674,0.725,0.50771,0.56478,0.32376,1.3616,0.79685,1.07305,0.00802,0.00802,0.00802
12,4573.78,1.38693,0.83187,1.09342,0.73749,0.51328,0.56865,0.32515,1.35766,0.79178,1.07098,0.007822,0.007822,0.007822
13,4952.99,1.38298,0.82515,1.09278,0.7275,0.51879,0.57157,0.32841,1.35523,0.78543,1.06746,0.007624,0.007624,0.007624
14,5331.84,1.38092,0.82017,1.09068,0.73843,0.51196,0.5757,0.33209,1.3535,0.78086,1.06866,0.007426,0.007426,0.007426
15,5711.24,1.37581,0.81384,1.0878,0.73862,0.52324,0.57989,0.33534,1.352,0.7781,1.06585,0.007228,0.007228,0.007228
16,6090.22,1.37326,0.80808,1.08766,0.7345,0.52624,0.57901,0.3343,1.35011,0.77351,1.06721,0.00703,0.00703,0.00703
17,6469.63,1.37182,0.80431,1.08645,0.74417,0.52481,0.58494,0.3371,1.35079,0.76975,1.06491,0.006832,0.006832,0.006832
18,6848.83,1.36779,0.7995,1.08443,0.74139,0.52815,0.58442,0.33773,1.34719,0.76665,1.06535,0.006634,0.006634,0.006634
19,7228.23,1.3663,0.79633,1.08137,0.73596,0.53154,0.58471,0.33861,1.34745,0.76547,1.06278,0.006436,0.006436,0.006436
20,7607.31,1.36317,0.79288,1.08051,0.74713,0.52964,0.58922,0.34187,1.34547,0.76239,1.06098,0.006238,0.006238,0.006238
21,7986.86,1.36069,0.78761,1.07879,0.74801,0.52892,0.58938,0.3433,1.34542,0.75937,1.06318,0.00604,0.00604,0.00604
22,8365.46,1.35913,0.78434,1.07753,0.74629,0.52919,0.58775,0.3425,1.34241,0.75876,1.06017,0.005842,0.005842,0.005842
23,8744.75,1.35521,0.77945,1.07563,0.71411,0.55059,0.59642,0.34697,1.34428,0.7571,1.06106,0.005644,0.005644,0.005644
24,9123.79,1.35346,0.77606,1.0755,0.76061,0.53021,0.59329,0.34509,1.34258,0.75253,1.06061,0.005446,0.005446,0.005446
25,9503.42,1.35097,0.77185,1.07387,0.7194,0.55283,0.59891,0.34869,1.34308,0.75116,1.05941,0.005248,0.005248,0.005248
26,9882.74,1.34999,0.76897,1.07204,0.74212,0.53872,0.5956,0.34811,1.34185,0.74955,1.0564,0.00505,0.00505,0.00505
27,10261.9,1.34749,0.76525,1.07135,0.66341,0.56774,0.60091,0.35088,1.34196,0.74912,1.06209,0.004852,0.004852,0.004852
28,10640.9,1.3464,0.76104,1.07051,0.72617,0.5542,0.60096,0.35159,1.34186,0.74729,1.05811,0.004654,0.004654,0.004654
29,11020.4,1.34407,0.75833,1.06849,0.74911,0.54168,0.59878,0.35041,1.34101,0.74657,1.05737,0.004456,0.004456,0.004456
30,11399.4,1.342,0.75409,1.06796,0.75743,0.53622,0.59853,0.34979,1.34189,0.74459,1.05713,0.004258,0.004258,0.004258
31,11778.6,1.33922,0.75041,1.06647,0.75205,0.54208,0.59816,0.34904,1.34191,0.74353,1.05738,0.00406,0.00406,0.00406
32,12157.4,1.33734,0.74668,1.06398,0.75956,0.53964,0.59765,0.34984,1.34245,0.74266,1.05689,0.003862,0.003862,0.003862
33,12536.6,1.33451,0.743,1.06425,0.65743,0.53789,0.59576,0.34854,1.34258,0.74176,1.05801,0.003664,0.003664,0.003664
34,12915.6,1.33378,0.73884,1.06534,0.6574,0.53954,0.59631,0.3487,1.34343,0.74094,1.05986,0.003466,0.003466,0.003466
35,13294.8,1.33116,0.73584,1.06266,0.75556,0.54151,0.59733,0.34933,1.34378,0.74,1.05887,0.003268,0.003268,0.003268
36,13673.8,1.32773,0.73237,1.06128,0.66177,0.53978,0.59812,0.34927,1.34476,0.73949,1.05954,0.00307,0.00307,0.00307
37,14053.3,1.32605,0.72856,1.06185,0.651,0.5464,0.59815,0.34869,1.34534,0.73919,1.06003,0.002872,0.002872,0.002872
38,14432.1,1.32294,0.72419,1.05865,0.66993,0.55741,0.60008,0.34933,1.3467,0.73915,1.05973,0.002674,0.002674,0.002674
39,14811.2,1.32006,0.71907,1.05559,0.63147,0.55992,0.60012,0.34946,1.34713,0.73854,1.05876,0.002476,0.002476,0.002476
40,15189.8,1.31722,0.71584,1.0547,0.64344,0.56317,0.59911,0.34859,1.34804,0.7386,1.05914,0.002278,0.002278,0.002278
41,15568.9,1.31418,0.71155,1.05454,0.64824,0.56721,0.59938,0.34849,1.34911,0.73861,1.06005,0.00208,0.00208,0.00208
42,15947.8,1.31144,0.70653,1.05273,0.67085,0.55435,0.59932,0.34857,1.35023,0.73868,1.06059,0.001882,0.001882,0.001882
43,16326.7,1.30929,0.70368,1.05012,0.67238,0.54867,0.59857,0.34822,1.35161,0.73891,1.06047,0.001684,0.001684,0.001684
44,16705.2,1.30628,0.69946,1.04987,0.67409,0.54768,0.60232,0.34975,1.35272,0.73868,1.06084,0.001486,0.001486,0.001486
45,17084.4,1.30289,0.69444,1.04791,0.67491,0.54684,0.60189,0.34873,1.35442,0.73901,1.06135,0.001288,0.001288,0.001288
46,17463,1.30026,0.6915,1.04756,0.67034,0.54638,0.60152,0.34828,1.35579,0.73921,1.06202,0.00109,0.00109,0.00109
47,17842,1.29611,0.68663,1.04499,0.67419,0.54547,0.60128,0.34804,1.3571,0.73966,1.06248,0.000892,0.000892,0.000892
48,18220.7,1.29323,0.68367,1.0447,0.67506,0.54429,0.60024,0.34742,1.35838,0.74035,1.06307,0.000694,0.000694,0.000694
49,18600,1.2907,0.67969,1.04336,0.67432,0.54447,0.5996,0.34693,1.35951,0.74075,1.0635,0.000496,0.000496,0.000496
50,18978.8,1.28845,0.67693,1.04202,0.67311,0.54352,0.59972,0.34632,1.36052,0.74117,1.06384,0.000298,0.000298,0.000298
