epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.034,1.50639,1.47136,1.17144,0.63981,0.42627,0.45708,0.25841,1.40774,0.93035,1.0915,0.000333181,0.000333181,0.000333181
2,771.386,1.41265,0.95647,1.10481,0.7026,0.45967,0.5129,0.2924,1.38123,0.86688,1.07724,0.000644519,0.000644519,0.000644519
3,1149.16,1.39626,0.89545,1.0935,0.72067,0.47958,0.53677,0.30737,1.36826,0.83896,1.06784,0.000933858,0.000933858,0.000933858
4,1525.8,1.38541,0.86327,1.08308,0.72361,0.49077,0.54632,0.31346,1.36299,0.81749,1.0563,0.000901,0.000901,0.000901
5,1902.76,1.37975,0.84393,1.07893,0.72404,0.49853,0.55813,0.3213,1.36126,0.80846,1.05931,0.000868,0.000868,0.000868
6,2279.36,1.37214,0.82925,1.07775,0.73391,0.50292,0.56479,0.32579,1.35829,0.80148,1.05854,0.000835,0.000835,0.000835
7,2656.03,1.36808,0.81924,1.07728,0.71695,0.51424,0.57681,0.33398,1.35586,0.7947,1.06251,0.000802,0.000802,0.000802
8,3032.5,1.36477,0.81226,1.07484,0.73727,0.50894,0.57189,0.33087,1.35193,0.78998,1.05537,0.000769,0.000769,0.000769
9,3409.54,1.36049,0.80452,1.07261,0.74092,0.51242,0.57516,0.33228,1.34934,0.78715,1.05328,0.000736,0.000736,0.000736
10,3786.48,1.35868,0.79886,1.06882,0.73816,0.51633,0.5797,0.33766,1.34746,0.7822,1.05318,0.000703,0.000703,0.000703
11,4163.55,1.35653,0.79441,1.06997,0.74578,0.51377,0.58297,0.33942,1.34926,0.78021,1.05507,0.00067,0.00067,0.00067
12,4540.25,1.3536,0.78872,1.06673,0.74122,0.51986,0.5899,0.34377,1.34647,0.77774,1.0525,0.000637,0.000637,0.000637
13,4917.19,1.35088,0.78474,1.06433,0.74397,0.52239,0.59129,0.34486,1.34702,0.7735,1.0521,0.000604,0.000604,0.000604
14,5293.57,1.3503,0.78164,1.06425,0.74425,0.52352,0.59283,0.34702,1.34534,0.77233,1.04947,0.000571,0.000571,0.000571
15,5670.58,1.34585,0.77685,1.06199,0.73537,0.52989,0.59153,0.34382,1.34476,0.77033,1.0489,0.000538,0.000538,0.000538
16,6046.85,1.34486,0.77308,1.06157,0.74024,0.53125,0.59152,0.3446,1.34433,0.76815,1.04626,0.000505,0.000505,0.000505
17,6423.89,1.34354,0.76932,1.05962,0.74255,0.52998,0.59161,0.34474,1.34361,0.76716,1.04935,0.000472,0.000472,0.000472
18,6800.18,1.34105,0.76606,1.05991,0.69081,0.55269,0.59522,0.34811,1.3425,0.76525,1.05098,0.000439,0.000439,0.000439
19,7176.97,1.34054,0.76364,1.05859,0.69488,0.55751,0.59635,0.35041,1.3432,0.76456,1.04833,0.000406,0.000406,0.000406
20,7553.05,1.33856,0.76188,1.05802,0.74572,0.52792,0.59618,0.34863,1.34317,0.76311,1.04885,0.000373,0.000373,0.000373
21,7929.77,1.3366,0.75707,1.0576,0.68487,0.54256,0.59817,0.35173,1.34344,0.76248,1.04791,0.00034,0.00034,0.00034
22,8305.85,1.33501,0.7542,1.05624,0.71776,0.54332,0.59888,0.35075,1.34235,0.76127,1.04736,0.000307,0.000307,0.000307
23,8682.57,1.33291,0.75205,1.05462,0.68711,0.53925,0.59645,0.35025,1.34291,0.76151,1.04767,0.000274,0.000274,0.000274
24,9058.74,1.33218,0.75036,1.05522,0.68394,0.53855,0.59757,0.34976,1.34283,0.76052,1.04718,0.000241,0.000241,0.000241
25,9435.72,1.33045,0.74658,1.05315,0.69315,0.54205,0.59786,0.35137,1.3434,0.75981,1.04695,0.000208,0.000208,0.000208
26,9812.07,1.32964,0.74537,1.05331,0.68257,0.54161,0.59799,0.34978,1.343,0.75967,1.04777,0.000175,0.000175,0.000175
27,10188.6,1.32794,0.7428,1.05142,0.66769,0.54187,0.59804,0.34993,1.34341,0.75909,1.04717,0.000142,0.000142,0.000142
28,10564.9,1.32662,0.73909,1.05141,0.66959,0.54422,0.59795,0.34979,1.34382,0.75847,1.04722,0.000109,0.000109,0.000109
29,10941.7,1.32654,0.73848,1.05133,0.68214,0.54146,0.59517,0.34775,1.34391,0.75826,1.04753,7.6e-05,7.6e-05,7.6e-05
30,11373.3,1.32528,0.737,1.05074,0.67657,0.5395,0.59581,0.34771,1.34419,0.75828,1.04781,4.3e-05,4.3e-05,4.3e-05
