epoch,time,config,train/box,train/cls,train/dfl,train/weather,train/scene,train/timeofday,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box,val/cls,val/dfl,val/weather,val/scene,val/timeofday,lr/pg0,lr/pg1,lr/pg2
1,785.877,super,1.30079,0.93216,1.01893,1.77578,1.77029,1.06276,0.59599,0.43506,0.47857,0.27466,0.60455,0.61446,0.52765,1.22538,0.70688,0.9795,1.72088,1.701,1.03759,0.00333029,0.00333029,0.00333029
1,811.838,base,1.32054,0.97603,1.02193,1.77575,1.76982,1.06305,0.58121,0.42916,0.46742,0.2664,0.60455,0.61446,0.52765,1.24307,0.73589,0.98001,1.71906,1.69888,1.03578,0.00333029,0.00333029,0.00333029
2,1581.63,super,1.27599,0.751408,1.01005,1.61543,1.55269,0.996477,0.61541,0.44255,0.49226,0.27983,0.60455,0.61446,0.52765,1.22613,0.69536,0.99083,1.45865,1.35709,0.9398,0.00653168,0.00653168,0.00653168
2,1607.44,base,1.29222,0.778081,1.00717,1.61333,1.54891,0.996141,0.60141,0.43404,0.48082,0.27314,0.60455,0.61446,0.52765,1.23953,0.71762,0.98798,1.45541,1.35028,0.94063,0.00653168,0.00653168,0.00653168
3,2429.88,super,1.29221,0.753505,1.00993,1.3331,1.17657,0.904967,0.70995,0.4343,0.47916,0.2715,0.60455,0.61446,0.52765,1.24975,0.70703,1.00325,1.23591,1.0527,0.8631,0.00960107,0.00960107,0.00960107
3,2455.52,base,1.30519,0.775477,1.00693,1.33095,1.17268,0.906025,0.6826,0.43265,0.46928,0.26511,0.60455,0.61446,0.52765,1.26629,0.72756,1.00081,1.23767,1.05219,0.8682,0.00960107,0.00960107,0.00960107
4,3219.12,super,1.29341,0.744744,1.00998,1.21634,0.99268,0.805089,0.70796,0.43902,0.48546,0.2752,0.60455,0.61446,0.90758,1.24566,0.70395,0.98994,1.16383,0.96545,0.65236,0.009406,0.009406,0.009406
4,3244.96,base,1.30469,0.765015,1.00763,1.22318,0.993692,0.822937,0.69233,0.43546,0.47483,0.26887,0.60455,0.61446,0.90547,1.2617,0.72407,0.98965,1.17475,0.96798,0.6813,0.009406,0.009406,0.009406
5,4008.82,super,1.2859,0.733234,1.0053,1.13855,0.928447,0.522418,0.70519,0.44836,0.49533,0.27677,0.60455,0.61446,0.89252,1.27521,0.70996,1.00276,1.1085,0.91858,0.44495,0.009208,0.009208,0.009208
5,4034.56,base,1.29595,0.751064,1.0041,1.14637,0.931714,0.551572,0.71081,0.44267,0.48849,0.27184,0.60455,0.61446,0.89383,1.29037,0.73066,1.00297,1.10826,0.92428,0.45044,0.009208,0.009208,0.009208
6,4845.54,super,1.27483,0.723431,1.00175,1.08888,0.867387,0.364093,0.60131,0.45091,0.49917,0.28212,0.60749,0.64361,0.90748,1.25908,0.69508,0.99414,1.06016,0.83815,0.36404,0.00901,0.00901,0.00901
6,4893.78,base,1.28435,0.740298,0.999895,1.0938,0.881907,0.376257,0.60034,0.44062,0.49122,0.27778,0.60805,0.61838,0.90748,1.26403,0.70747,0.99294,1.06538,0.8607,0.37231,0.00901,0.00901,0.00901
7,5770.9,super,1.26805,0.711638,0.998968,1.04578,0.784739,0.323423,0.70564,0.4583,0.49967,0.28494,0.6508,0.7361,0.90848,1.23998,0.68615,0.99318,1.01018,0.74694,0.33707,0.008812,0.008812,0.008812
7,5796.69,base,1.27748,0.727857,0.997087,1.05476,0.805901,0.327598,0.70123,0.44891,0.49226,0.28119,0.63892,0.71971,0.90647,1.25132,0.70274,0.99177,1.02061,0.76761,0.34701,0.008812,0.008812,0.008812
8,6561.4,super,1.26191,0.704856,0.999921,0.994534,0.721965,0.317905,0.71709,0.4591,0.5051,0.2862,0.66934,0.72343,0.91059,1.24098,0.6826,0.98817,0.95239,0.73137,0.31571,0.008614,0.008614,0.008614
8,6587.21,base,1.27072,0.720379,0.997036,1.00797,0.737715,0.319686,0.7146,0.44956,0.49779,0.28085,0.66324,0.7177,0.91079,1.24916,0.69449,0.98313,0.9675,0.74292,0.31674,0.008614,0.008614,0.008614
9,766.744,super,1.25594,0.697012,0.998905,0.927069,0.692378,0.309726,0.71068,0.46845,0.51684,0.29237,0.68212,0.74063,0.91179,1.24126,0.67663,0.99723,0.87183,0.69461,0.29794,0.008416,0.008416,0.008416
9,792.375,base,1.26483,0.713158,0.9944,0.949308,0.702006,0.313187,0.71734,0.46005,0.5112,0.28885,0.68167,0.73942,0.91149,1.25154,0.69227,0.99165,0.91159,0.69879,0.29884,0.008416,0.008416,0.008416
10,1557.33,super,1.25026,0.692282,0.99431,0.864744,0.68568,0.29418,0.61846,0.46877,0.51616,0.2946,0.68778,0.74304,0.91049,1.22496,0.66176,0.99071,0.83772,0.68101,0.3011,0.008218,0.008218,0.008218
10,1583.05,base,1.25896,0.708125,0.990833,0.891371,0.691388,0.298896,0.61598,0.46146,0.5123,0.29076,0.68506,0.73892,0.90938,1.23325,0.6766,0.98319,0.86426,0.69248,0.31055,0.008218,0.008218,0.008218
11,2349.01,super,1.24284,0.684938,0.992324,0.80806,0.679287,0.291961,0.62355,0.47245,0.5186,0.29516,0.69479,0.74736,0.91249,1.22487,0.65854,0.98042,0.79143,0.67628,0.27939,0.00802,0.00802,0.00802
11,2374.62,base,1.25147,0.700537,0.988752,0.829069,0.683975,0.294591,0.62221,0.46313,0.5106,0.29118,0.68472,0.74626,0.91259,1.23215,0.67302,0.97655,0.80978,0.68193,0.28173,0.00802,0.00802,0.00802
12,3140.16,super,1.24058,0.681435,0.987047,0.773161,0.670063,0.279627,0.63177,0.47247,0.52607,0.30148,0.72464,0.74404,0.91149,1.22214,0.65833,0.98521,0.75885,0.66596,0.28269,0.007822,0.007822,0.007822
12,3165.82,base,1.24895,0.696422,0.985228,0.789453,0.674955,0.281465,0.6337,0.46398,0.5195,0.29661,0.71955,0.74354,0.91139,1.23022,0.67192,0.98218,0.77348,0.67324,0.28767,0.007822,0.007822,0.007822
13,3931.59,super,1.23951,0.67928,0.990001,0.737276,0.666317,0.282105,0.63519,0.47422,0.52459,0.30222,0.73753,0.74806,0.91139,1.21334,0.65556,0.97616,0.71745,0.65582,0.28002,0.007624,0.007624,0.007624
13,3957.22,base,1.24776,0.693968,0.986389,0.75068,0.672753,0.28382,0.72324,0.47425,0.51906,0.29863,0.73448,0.74565,0.91069,1.22125,0.67072,0.97375,0.72775,0.66404,0.28398,0.007624,0.007624,0.007624
14,4722.31,super,1.23442,0.673979,0.983692,0.71484,0.650744,0.278027,0.73168,0.47966,0.53212,0.30491,0.73165,0.74575,0.91169,1.2097,0.65016,0.97396,0.70712,0.6508,0.27768,0.007426,0.007426,0.007426
14,4748.14,base,1.24246,0.688309,0.982003,0.727669,0.657293,0.279723,0.72867,0.47114,0.52496,0.30087,0.72498,0.74565,0.91099,1.21834,0.6636,0.97082,0.72423,0.66022,0.28088,0.007426,0.007426,0.007426
15,5513.42,super,1.23171,0.672094,0.984366,0.695966,0.644355,0.274807,0.72078,0.48362,0.53269,0.30577,0.73697,0.74756,0.91199,1.21554,0.64581,0.97708,0.6981,0.63437,0.27584,0.007228,0.007228,0.007228
