epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,786.946,super,1.30058,0.933634,1.02553,0.59404,0.4315,0.47461,0.27237,1.23477,0.7121,0.99441,0.00333029,0.00333029,0.00333029
1,812.939,base,1.32172,0.978773,1.02763,0.59679,0.41423,0.46346,0.26454,1.2531,0.74255,0.98945,0.00333029,0.00333029,0.00333029
2,1584.79,super,1.27798,0.750862,1.00843,0.61889,0.43582,0.48812,0.28001,1.22945,0.70141,0.97736,0.00653168,0.00653168,0.00653168
2,1610.78,base,1.29293,0.776817,1.00481,0.60087,0.43186,0.47865,0.2728,1.23994,0.72328,0.97532,0.00653168,0.00653168,0.00653168
3,2378.14,super,1.29273,0.753009,1.00387,0.70959,0.43341,0.47809,0.26841,1.25601,0.70852,0.9986,0.00960107,0.00960107,0.00960107
3,2404.41,base,1.30469,0.774753,1.0026,0.69176,0.42642,0.47519,0.27018,1.26418,0.72653,0.99449,0.00960107,0.00960107,0.00960107
4,3171.22,super,1.29432,0.745325,1.01042,0.69694,0.43888,0.48188,0.27198,1.27542,0.71727,1.00259,0.009406,0.009406,0.009406
4,3197.34,base,1.30523,0.765345,1.00812,0.68855,0.43248,0.47237,0.26647,1.29837,0.74201,1.00797,0.009406,0.009406,0.009406
5,3964.54,super,1.28684,0.733151,1.0093,0.70415,0.44804,0.49455,0.27969,1.26684,0.70835,1.00586,0.009208,0.009208,0.009208
5,3990.64,base,1.29734,0.75157,1.00671,0.69613,0.44507,0.48824,0.27472,1.27413,0.72089,0.99653,0.009208,0.009208,0.009208
6,4758.12,super,1.27521,0.72241,1.00482,0.71154,0.44326,0.49387,0.27915,1.26897,0.70303,0.99901,0.00901,0.00901,0.00901
6,4784.34,base,1.28454,0.73953,1.00174,0.70252,0.44069,0.48769,0.27516,1.27482,0.71565,0.99495,0.00901,0.00901,0.00901
7,5552.24,super,1.26912,0.71249,0.998888,0.70683,0.455,0.49899,0.28236,1.25653,0.68867,0.99894,0.008812,0.008812,0.008812
7,5578.25,base,1.27762,0.728097,0.997353,0.70106,0.45475,0.49458,0.27979,1.26369,0.70163,0.99613,0.008812,0.008812,0.008812
8,6345.22,super,1.2613,0.703697,0.998595,0.71439,0.46365,0.5081,0.28728,1.2649,0.68848,1.01035,0.008614,0.008614,0.008614
8,6371.18,base,1.27015,0.719931,0.996946,0.71161,0.45381,0.50225,0.28336,1.26467,0.70075,0.99976,0.008614,0.008614,0.008614
9,7138.08,super,1.25368,0.697336,1.00212,0.71978,0.45939,0.5106,0.28831,1.25193,0.68326,0.99516,0.008416,0.008416,0.008416
9,7164.08,base,1.26264,0.713831,0.997207,0.71449,0.45388,0.50271,0.28449,1.25467,0.69733,0.99056,0.008416,0.008416,0.008416
10,7931.1,super,1.25206,0.69287,0.99608,0.72227,0.46849,0.5184,0.29547,1.24305,0.67676,0.99389,0.008218,0.008218,0.008218
10,7956.97,base,1.26114,0.709163,0.994057,0.72778,0.46046,0.51139,0.29115,1.25163,0.68947,0.99049,0.008218,0.008218,0.008218
11,8724.41,super,1.24592,0.686496,0.996288,0.63153,0.46,0.5144,0.2934,1.23203,0.67077,0.98744,0.00802,0.00802,0.00802
11,8750.47,base,1.25446,0.702117,0.992968,0.71336,0.46317,0.50922,0.29037,1.23873,0.67947,0.98495,0.00802,0.00802,0.00802
12,9517.27,super,1.24197,0.683042,0.986935,0.73347,0.47243,0.52264,0.29809,1.23227,0.66247,0.98058,0.007822,0.007822,0.007822
