epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.095,1.29944,0.88546,1.01985,0.68269,0.42276,0.46118,0.26128,1.24357,0.72869,0.9902,0.00333029,0.00333029,0.00333029
2,869.77,1.32158,0.79404,1.02146,0.67355,0.41579,0.45114,0.25094,1.26988,0.74792,0.99971,0.00653168,0.00653168,0.00653168
3,1295.09,1.35435,0.81278,1.03597,0.66064,0.39949,0.42934,0.23729,1.31788,0.77285,1.0267,0.00960107,0.00960107,0.00960107
4,1719.02,1.34592,0.80079,1.03714,0.65628,0.40085,0.43045,0.23548,1.29021,0.74791,1.01573,0.009406,0.009406,0.009406
5,2142.23,1.32557,0.77614,1.02755,0.67215,0.41819,0.45756,0.25478,1.28278,0.7304,1.01268,0.009208,0.009208,0.009208
6,2565.64,1.3054,0.75783,1.02099,0.6815,0.42186,0.46197,0.25936,1.26814,0.7154,1.00759,0.00901,0.00901,0.00901
7,2988.91,1.29358,0.74008,1.01409,0.68874,0.44151,0.47764,0.26793,1.25703,0.69938,1.00009,0.008812,0.008812,0.008812
8,3412.69,1.2814,0.72867,1.0118,0.69484,0.43779,0.48027,0.27043,1.25588,0.69403,1.00273,0.008614,0.008614,0.008614
9,3836,1.27038,0.71977,1.0072,0.71821,0.44056,0.49054,0.27757,1.23456,0.68357,0.98966,0.008416,0.008416,0.008416
10,4259.78,1.26679,0.71308,1.00417,0.72254,0.44623,0.50102,0.28228,1.24445,0.67886,0.99972,0.008218,0.008218,0.008218
11,4683.23,1.25711,0.70282,1.00143,0.71308,0.45651,0.50286,0.28501,1.23379,0.67304,0.99185,0.00802,0.00802,0.00802
12,5106.91,1.25337,0.69715,0.99691,0.72121,0.45984,0.50774,0.28801,1.23581,0.66945,0.99474,0.007822,0.007822,0.007822
13,5529.73,1.24951,0.69162,0.99684,0.70997,0.46649,0.51321,0.29208,1.22359,0.65964,0.98609,0.007624,0.007624,0.007624
14,5952.67,1.2434,0.68646,0.9924,0.71764,0.46592,0.51382,0.29292,1.21871,0.65443,0.98474,0.007426,0.007426,0.007426
15,6375.33,1.24026,0.68144,0.99315,0.72921,0.46439,0.51649,0.29419,1.22409,0.65573,0.98907,0.007228,0.007228,0.007228
16,6798.23,1.23279,0.67375,0.98765,0.72263,0.47386,0.5237,0.29844,1.21355,0.6469,0.98338,0.00703,0.00703,0.00703
17,7220.75,1.22979,0.67044,0.98817,0.73422,0.47401,0.5271,0.29981,1.21343,0.64606,0.98048,0.006832,0.006832,0.006832
18,7643.52,1.22604,0.66479,0.98684,0.73168,0.47454,0.52566,0.30303,1.2144,0.6443,0.98313,0.006634,0.006634,0.006634
19,8066.07,1.22204,0.66205,0.98518,0.72312,0.47804,0.52913,0.30429,1.20991,0.64126,0.97856,0.006436,0.006436,0.006436
