epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/weather_loss,train/scene_loss,train/timeofday_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box_loss,val/cls_loss,val/dfl_loss,val/weather_loss,val/scene_loss,val/timeofday_loss,lr/pg0,lr/pg1,lr/pg2
1,438.362,1.29976,0.88499,1.01873,1.77682,1.81657,1.06916,0.69459,0.41878,0.45915,0.26031,0.60466,0.57193,0.56638,1.25063,0.72157,0.99349,1.73678,1.7572,1.04605,0.00333029,0.00333029,0.00333029
2,867.903,1.31976,0.79565,1.01882,1.62391,1.60922,1.00807,0.68532,0.41185,0.45072,0.25254,0.6046,0.59319,0.54701,1.27533,0.74928,1.0022,1.50127,1.45676,0.96413,0.00653168,0.00653168,0.00653168
3,1292.96,1.35212,0.81298,1.03641,1.34654,1.22726,0.9183,0.65377,0.39385,0.42355,0.23557,0.60458,0.60028,0.54056,1.325,0.78835,1.03475,1.2613,1.10323,0.89133,0.00960107,0.00960107,0.00960107
4,1717.18,1.34624,0.79888,1.03638,1.24245,1.01189,0.87944,0.64052,0.40487,0.42713,0.23669,0.60457,0.60383,0.53736,1.27931,0.75431,1.01648,1.22186,0.99603,0.86393,0.009406,0.009406,0.009406
5,2141.03,1.32484,0.77615,1.02889,1.2077,0.94955,0.84219,0.66643,0.42064,0.45363,0.25343,0.60457,0.60595,0.58541,1.28679,0.73348,1.00955,1.17797,0.95675,0.76248,0.009208,0.009208,0.009208
6,2565.78,1.30542,0.75846,1.02049,1.17008,0.92318,0.71455,0.68569,0.42562,0.46632,0.26368,0.60456,0.60737,0.63659,1.26698,0.71643,1.00553,1.13141,0.93008,0.58761,0.00901,0.00901,0.00901
7,2990.06,1.29313,0.74199,1.01645,1.11777,0.90612,0.51394,0.69259,0.43736,0.47882,0.26963,0.60566,0.60838,0.67476,1.26035,0.70662,1.00005,1.07045,0.90802,0.41556,0.008812,0.008812,0.008812
8,3414.57,1.28143,0.72911,1.01395,1.07246,0.8871,0.39544,0.69711,0.44119,0.48482,0.27122,0.6092,0.60915,0.70373,1.28871,0.71049,1.02397,1.02621,0.8876,0.36891,0.008614,0.008614,0.008614
9,3839.19,1.26966,0.71907,1.00782,1.03845,0.85009,0.34323,0.70119,0.44793,0.48764,0.27584,0.61671,0.61342,0.72634,1.24779,0.69113,0.99758,1.01226,0.84667,0.33594,0.008416,0.008416,0.008416
10,4263.91,1.267,0.71299,1.00302,1.00755,0.80675,0.3309,0.6915,0.45453,0.4945,0.28009,0.62366,0.62262,0.74484,1.23986,0.67935,0.98994,0.96952,0.79418,0.31597,0.008218,0.008218,0.008218
