epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,188.583,super,1.46137,3.22979,1.44788,0.33984,0.15503,0.1472,0.09192,1.31001,1.83759,1.32914,4.98667e-05,4.98667e-05,4.98667e-05
1,196.254,base,1.46696,3.12338,1.4544,0.34335,0.18328,0.15443,0.09487,1.30029,1.89684,1.31816,4.98667e-05,4.98667e-05,4.98667e-05
2,379.574,super,1.24566,1.7098,1.25585,0.53626,0.37034,0.32882,0.2072,1.20163,1.30183,1.18795,9.49233e-05,9.49233e-05,9.49233e-05
2,386.853,base,1.26438,1.78414,1.26495,0.64227,0.3483,0.31058,0.19421,1.20351,1.39358,1.19003,9.49233e-05,9.49233e-05,9.49233e-05
3,569.688,super,1.14758,1.31166,1.17215,0.62305,0.44447,0.42375,0.26408,1.172,1.0542,1.14905,9.01e-05,9.01e-05,9.01e-05
3,576.658,base,1.1659,1.38329,1.18232,0.63293,0.38769,0.40311,0.25184,1.16979,1.13818,1.14862,9.01e-05,9.01e-05,9.01e-05
4,759.612,super,1.10688,1.11414,1.14616,0.67142,0.45693,0.48276,0.30534,1.13159,0.95329,1.1343,8.515e-05,8.515e-05,8.515e-05
4,766.378,base,1.12477,1.18917,1.15505,0.63459,0.46462,0.46615,0.29361,1.13378,1.03647,1.13252,8.515e-05,8.515e-05,8.515e-05
5,949.209,super,1.07467,1.0218,1.13035,0.72811,0.47565,0.52639,0.33595,1.10972,0.89534,1.12362,8.02e-05,8.02e-05,8.02e-05
5,955.863,base,1.09586,1.09978,1.14025,0.69553,0.46423,0.50076,0.31841,1.11882,0.9764,1.12475,8.02e-05,8.02e-05,8.02e-05
6,1138.69,super,1.05705,0.964986,1.12058,0.69935,0.51377,0.55732,0.35929,1.08758,0.8621,1.1162,7.525e-05,7.525e-05,7.525e-05
6,1145.24,base,1.08106,1.04153,1.1304,0.69631,0.48374,0.52435,0.33631,1.09922,0.94209,1.11511,7.525e-05,7.525e-05,7.525e-05
7,1328.12,super,1.04542,0.923873,1.11825,0.7503,0.51732,0.57811,0.37054,1.07264,0.83273,1.10896,7.03e-05,7.03e-05,7.03e-05
7,1334.61,base,1.06811,1.00151,1.12575,0.70589,0.49971,0.54217,0.34845,1.08297,0.91451,1.10842,7.03e-05,7.03e-05,7.03e-05
8,1517.4,super,1.03192,0.894169,1.10916,0.78229,0.51665,0.59125,0.38201,1.06142,0.81034,1.10196,6.535e-05,6.535e-05,6.535e-05
8,1523.85,base,1.05329,0.972392,1.11517,0.73023,0.49585,0.55524,0.3581,1.07493,0.89248,1.10237,6.535e-05,6.535e-05,6.535e-05
9,1706.64,super,1.0198,0.870432,1.10319,0.76795,0.5372,0.6035,0.39186,1.04376,0.78935,1.09681,6.04e-05,6.04e-05,6.04e-05
9,1713.05,base,1.04196,0.944851,1.10952,0.72567,0.51053,0.56396,0.36535,1.05888,0.8761,1.09809,6.04e-05,6.04e-05,6.04e-05
10,1895.81,super,1.01222,0.851529,1.10309,0.79333,0.5319,0.61924,0.40115,1.0441,0.77584,1.09334,5.545e-05,5.545e-05,5.545e-05
10,1902.19,base,1.03894,0.931722,1.11019,0.74049,0.50846,0.57451,0.37225,1.05835,0.86074,1.09495,5.545e-05,5.545e-05,5.545e-05
11,2084.94,super,1.00893,0.828512,1.09978,0.7835,0.55636,0.63094,0.41174,1.02565,0.75602,1.08688,5.05e-05,5.05e-05,5.05e-05
11,2091.3,base,1.03303,0.907544,1.10673,0.73803,0.5198,0.58313,0.37794,1.04031,0.84161,1.08851,5.05e-05,5.05e-05,5.05e-05
