frame_idx,latency_ms,energy_mJ
10,20.14,2831.94
11,20.18,2838.05
12,20.08,2823.03
13,20.09,2824.4
14,20.21,2841.3
15,20.26,2848.57
16,20.15,2833.99
17,20.08,2823.73
18,20.15,2829.96
19,20.18,2829.69
20,20.08,2815.34
21,20.08,2816.31
22,20.19,2831.39
23,20.24,2838.15
24,20.16,2827.61
25,20.1,2819.02
26,20.1,2819.29
27,20.09,2817.65
28,20.08,2815.38
29,20.09,2817.58
30,20.16,2826.58
31,20.12,2821.16
32,20.14,2824.87
33,20.33,2851.42
34,20.22,2834.55
35,20.29,2843.51
36,20.07,2812.75
37,20.53,2876.85
38,20.14,2821.37
39,20.08,2813.92
40,20.46,2866.66
41,20.29,2843.41
42,20.24,2835.46
43,20.18,2827.11
44,20.22,2832.62
45,20.29,2842.61
46,20.07,2812.15
47,20.11,2818.23
48,20.15,2823.8
49,20.2,2829.98
50,20.21,2831.48
51,20.09,2815.14
52,20.22,2833.45
53,20.15,2823.56
54,20.15,2823.93
55,20.21,2831.88
56,20.18,2828.07
57,20.13,2821.19
58,20.12,2819.28
59,20.1,2816.98
60,20.15,2823.89
61,20.06,2811.97
62,20.05,2810.63
63,20.09,2815.07
64,20.04,2808.96
65,20.29,2844.11
66,20.15,2824.63
67,20.13,2823.7
68,20.23,2837.41
69,20.6,2889.92
70,20.08,2817.34
71,20.25,2841.26
72,20.89,2929.75
73,20.14,2824.83
74,20.18,2830.19
75,20.33,2851.72
76,20.12,2821.69
77,20.08,2816.27
78,20.08,2817.24
79,20.21,2835.17
80,20.11,2820.35
81,20.16,2828.68
82,20.16,2827.95
83,20.09,2819.21
84,20.11,2822.14
85,20.11,2822.48
86,20.13,2824.48
87,20.0,2806.52
88,20.15,2827.13
89,19.99,2805.31
90,20.02,2808.86
91,20.08,2817.46
92,19.97,2802.13
93,20.05,2813.78
94,20.04,2812.61
95,20.19,2832.95
96,20.0,2806.92
97,19.97,2802.13
98,20.05,2814.01
99,20.0,2806.35
100,20.05,2814.45
101,20.05,2813.95
102,20.17,2831.49
103,20.04,2812.58
104,20.38,2861.0
105,20.22,2838.24
106,20.08,2818.43
107,20.01,2808.16
108,20.14,2827.03
109,20.02,2809.27
110,20.27,2844.74
111,20.14,2827.37
112,19.98,2804.95
113,20.05,2814.72
114,20.05,2814.15
115,20.25,2841.58
116,20.03,2808.93
117,20.06,2813.68
118,20.04,2809.63
119,20.11,2820.7
120,20.03,2808.6
121,19.94,2796.26
122,20.07,2814.75
123,20.12,2821.67
124,19.94,2795.96
125,20.16,2826.58
126,20.03,2808.9
127,20.0,2804.45
128,20.04,2810.23
129,20.01,2805.49
130,19.97,2800.91
131,19.99,2802.69
132,20.13,2821.72
133,19.99,2801.84
134,20.2,2831.48
135,20.12,2819.78
136,20.05,2810.46
137,20.23,2835.32
138,20.17,2827.24
139,19.99,2801.98
140,20.21,2832.38
141,20.17,2827.37
142,20.0,2803.04
143,20.02,2805.95
144,20.08,2814.07
145,19.99,2801.24
146,19.99,2802.01
147,19.83,2779.73
148,19.79,2774.73
149,19.85,2782.28
150,19.85,2782.52
151,19.85,2782.79
152,19.89,2789.24
153,19.83,2780.41
154,19.87,2785.16
155,19.83,2780.65
156,19.82,2778.34
157,19.93,2794.72
158,20.46,2868.99
159,20.69,2900.18
160,19.93,2794.85
161,19.9,2789.47
162,20.0,2803.71
163,20.62,2890.58
164,19.79,2779.32
165,19.81,2785.58
166,19.97,2809.09
167,20.28,2852.81
168,19.93,2803.59
169,19.83,2788.53
170,20.13,2831.32
171,19.95,2806.0
172,19.86,2793.6
173,19.91,2799.53
174,20.11,2828.13
175,19.87,2794.8
176,19.87,2794.54
177,19.82,2787.83
178,19.8,2784.14
179,19.87,2794.77
180,19.79,2783.04
181,19.99,2812.4
182,19.89,2800.02
183,19.79,2785.65
184,19.92,2803.71
185,19.87,2796.63
186,19.75,2780.55
187,19.9,2801.12
188,19.91,2802.47
189,19.8,2786.56
190,19.83,2790.62
191,19.97,2810.86
192,19.79,2786.26
193,19.76,2781.73
194,19.87,2796.56
195,19.86,2795.32
196,19.94,2805.99
197,19.9,2801.16
198,19.85,2796.73
199,19.78,2787.83
200,19.76,2785.47
201,20.29,2860.45
202,19.9,2804.8
203,19.85,2797.98
204,20.33,2865.93
205,19.8,2791.76
206,19.87,2801.5
207,19.87,2800.93
208,19.96,2814.34
209,19.88,2802.58
210,19.79,2790.01
211,19.83,2795.62
212,19.82,2793.91
213,19.94,2810.55
214,19.86,2799.99
215,19.85,2795.47
216,19.84,2791.01
217,19.77,2781.42
218,19.89,2798.19
219,19.81,2785.95
220,19.87,2794.56
221,19.83,2789.0
222,19.81,2786.89
223,19.86,2793.42
224,19.95,2806.17
225,19.85,2791.98
226,19.87,2794.4
227,19.78,2781.99
228,19.87,2794.56
229,19.79,2784.27
230,19.79,2783.9
231,19.86,2793.56
232,19.75,2770.28
233,19.84,2776.34
234,19.9,2784.15
235,20.22,2830.02
236,19.92,2787.11
237,20.2,2826.81
238,20.08,2810.4
239,20.02,2801.33
240,19.83,2775.14
241,19.81,2771.5
242,19.88,2781.31
243,19.91,2785.38
244,19.8,2771.23
245,20.03,2802.53
246,19.92,2786.75
247,19.79,2768.77
248,19.84,2775.87
249,19.82,2767.27
250,19.86,2773.3
251,20.16,2815.49
252,19.98,2790.08
253,20.47,2858.94
254,19.91,2780.86
255,19.99,2791.28
256,19.84,2770.1
257,19.83,2769.97
258,19.92,2782.16
259,19.82,2768.11
260,19.85,2771.53
261,19.96,2786.92
262,19.89,2777.76
263,28.18,3935.63
264,31.48,4399.19
265,20.58,2877.42
266,20.14,2816.07
267,20.88,2920.19
268,19.89,2781.66
269,19.88,2779.43
270,20.42,2855.98
271,20.05,2803.83
272,19.87,2778.03
273,19.79,2767.52
274,19.8,2769.56
275,19.83,2772.49
276,19.82,2771.42
277,19.74,2759.92
278,19.75,2762.19
279,19.78,2766.52
280,19.77,2764.46
281,19.78,2761.61
282,19.92,2776.26
283,19.83,2763.3
284,19.78,2756.92
285,19.81,2760.61
286,19.85,2765.96
287,19.88,2771.08
288,19.76,2753.37
289,19.82,2762.44
290,19.8,2759.51
291,19.81,2760.88
292,19.86,2766.99
293,19.78,2755.89
294,19.82,2762.4
295,19.82,2761.71
296,19.82,2761.77
297,19.97,2782.71
298,19.78,2759.24
299,19.87,2772.88
300,19.81,2764.3
301,19.88,2773.18
302,19.92,2779.73
303,20.27,2827.73
304,20.31,2833.25
305,19.84,2768.69
306,19.78,2759.87
307,19.97,2785.79
308,19.87,2772.22
309,19.83,2767.23
310,19.82,2765.43
311,19.83,2766.66
312,19.75,2756.02
313,19.86,2770.39
314,19.87,2777.04
315,19.86,2780.14
316,19.84,2777.83
317,20.26,2836.05
318,19.72,2760.88
319,19.85,2779.1
320,19.85,2779.2
321,19.74,2763.82
322,19.84,2777.6
323,19.8,2771.26
324,19.87,2781.51
325,19.81,2773.46
326,19.9,2785.68
327,19.76,2766.05
328,19.81,2773.06
329,19.75,2764.85
330,19.81,2773.4
331,19.84,2776.37
332,19.79,2768.33
333,20.01,2799.08
334,20.54,2873.71
335,19.82,2772.57
336,19.84,2775.6
337,19.97,2794.41
338,19.86,2779.24
339,19.96,2792.91
340,19.8,2770.66
341,19.84,2776.03
342,19.78,2767.66
343,19.86,2778.3
344,19.85,2777.87
345,19.79,2769.1
346,19.77,2766.13
347,20.49,2867.37
348,20.89,2918.8
349,20.05,2801.67
350,19.88,2778.38
351,19.89,2779.91
352,19.78,2763.92
353,19.84,2771.75
354,19.75,2759.49
