stem,n_anchors_P3_super,mean_conf_all_P3_super,max_conf_P3_super,n_pred_ge10_P3_super,n_pred_ge25_P3_super,mean_conf_ge10_P3_super,mean_conf_ge25_P3_super,top10_mean_conf_P3_super,top20_mean_conf_P3_super,top30_mean_conf_P3_super,n_anchors_P4_super,mean_conf_all_P4_super,max_conf_P4_super,n_pred_ge10_P4_super,n_pred_ge25_P4_super,mean_conf_ge10_P4_super,mean_conf_ge25_P4_super,top10_mean_conf_P4_super,top20_mean_conf_P4_super,top30_mean_conf_P4_super,n_anchors_P5_super,mean_conf_all_P5_super,max_conf_P5_super,n_pred_ge10_P5_super,n_pred_ge25_P5_super,mean_conf_ge10_P5_super,mean_conf_ge25_P5_super,top10_mean_conf_P5_super,top20_mean_conf_P5_super,top30_mean_conf_P5_super,n_anchors_P3_base,mean_conf_all_P3_base,max_conf_P3_base,n_pred_ge10_P3_base,n_pred_ge25_P3_base,mean_conf_ge10_P3_base,mean_conf_ge25_P3_base,top10_mean_conf_P3_base,top20_mean_conf_P3_base,top30_mean_conf_P3_base,n_anchors_P4_base,mean_conf_all_P4_base,max_conf_P4_base,n_pred_ge10_P4_base,n_pred_ge25_P4_base,mean_conf_ge10_P4_base,mean_conf_ge25_P4_base,top10_mean_conf_P4_base,top20_mean_conf_P4_base,top30_mean_conf_P4_base,n_anchors_P5_base,mean_conf_all_P5_base,max_conf_P5_base,n_pred_ge10_P5_base,n_pred_ge25_P5_base,mean_conf_ge10_P5_base,mean_conf_ge25_P5_base,top10_mean_conf_P5_base,top20_mean_conf_P5_base,top30_mean_conf_P5_base,n_gt_small,n_gt_medium,n_gt_large,n_gt_total,gt_med_area
b1c66a42-6f7d68ca,25600,0.002039500279352069,0.8427954912185669,110,58,0.38396328687667847,0.5916517972946167,0.8300014734268188,0.8204242587089539,0.7884656190872192,6400,0.007439200766384602,0.8668017983436584,73,64,0.6331051588058472,0.6967295408248901,0.8388063311576843,0.8237242698669434,0.8135590553283691,1600,0.005756909493356943,0.8828088045120239,12,10,0.7496002912521362,0.8657490015029907,0.8657490015029907,0.4565523564815521,0.30486300587654114,25600,0.002034649718552828,0.7632325291633606,111,60,0.3516491949558258,0.5132569074630737,0.7331063747406006,0.6918744444847107,0.6424115896224976,6400,0.0071379030123353004,0.8393473029136658,82,62,0.5338999629020691,0.650816023349762,0.8139634132385254,0.7958984971046448,0.7847710251808167,1600,0.00543760834261775,0.8558647036552429,11,10,0.7611470222473145,0.8251916170120239,0.8251914978027344,0.4309285283088684,0.2879234552383423,20,13,1,34,523.1182250976562
b1c81faa-3df17267,25600,0.0005819660145789385,0.36940062046051025,56,7,0.1645633727312088,0.31495457887649536,0.29018720984458923,0.23577213287353516,0.20601314306259155,6400,0.0007408866076730192,0.41118934750556946,10,4,0.20607183873653412,0.3282494843006134,0.20607183873653412,0.13856086134910583,0.10813170671463013,1600,0.0018596696900203824,0.08628027141094208,0,0,nan,nan,0.06150677800178528,0.05338196083903313,0.04559386149048805,25600,0.0005592694506049156,0.26907703280448914,49,4,0.1480894833803177,0.2633189558982849,0.2367745190858841,0.1979355365037918,0.17299678921699524,6400,0.0007707223412580788,0.3200985789299011,18,2,0.15768547356128693,0.31685513257980347,0.1931724101305008,0.15134963393211365,0.1208338811993599,1600,0.0011981598800048232,0.10925999283790588,1,0,0.10925999283790588,nan,0.054528892040252686,0.04416772723197937,0.03729927912354469,2,2,0,4,412.1028747558594
b1c81faa-c80764c5,25600,0.000852205790579319,0.6094610691070557,55,30,0.2950882315635681,0.41573163866996765,0.5363783836364746,0.46648073196411133,0.41573166847229004,6400,0.0021572366822510958,0.7825334668159485,26,15,0.4217149317264557,0.6144772171974182,0.7441148161888123,0.5107518434524536,0.37729883193969727,1600,0.0004068897105753422,0.16681340336799622,2,0,0.16401678323745728,nan,0.045445024967193604,0.02397654950618744,0.016562964767217636,25600,0.0006737030926160514,0.49430179595947266,40,21,0.27738189697265625,0.3921985626220703,0.4458102285861969,0.39779847860336304,0.3314856290817261,6400,0.0018236703472211957,0.7322759628295898,24,13,0.39592695236206055,0.6020453572273254,0.6730395555496216,0.4540759027004242,0.33341890573501587,1600,0.00035418191691860557,0.11676719784736633,2,0,0.1114535927772522,nan,0.04405101016163826,0.024208754301071167,0.01654854044318199,11,3,0,14,296.978515625
b1c9c847-3bda4659,25600,0.0015951982932165265,0.7704067826271057,77,57,0.4664914608001709,0.5802078247070312,0.7250382304191589,0.7035949230194092,0.6862467527389526,6400,0.007146853022277355,0.8608636856079102,82,73,0.5428076982498169,0.5889275074005127,0.8220457434654236,0.7907800078392029,0.7384955286979675,1600,0.006203765515238047,0.5789281129837036,21,18,0.3905578851699829,0.4157246947288513,0.5096402168273926,0.39854007959365845,0.28993600606918335,25600,0.001452367170713842,0.7479363083839417,72,51,0.4288513958454132,0.542121410369873,0.7193467020988464,0.6941218376159668,0.6629132032394409,6400,0.0075720809400081635,0.8197489380836487,84,77,0.5556224584579468,0.5885198712348938,0.7976506948471069,0.7738041281700134,0.7387834787368774,1600,0.0057794321328401566,0.6234623789787292,20,10,0.3560750484466553,0.5598481297492981,0.5598481297492981,0.3560750186443329,0.25984621047973633,7,8,4,19,2273.487548828125
b1ca2e5d-84cf9134,25600,0.0020625037141144276,0.7476916909217834,115,48,0.31250324845314026,0.5335769653320312,0.7259299159049988,0.7083349227905273,0.6569383144378662,6400,0.005737281870096922,0.8956413269042969,64,37,0.4787372648715973,0.7032797932624817,0.8795477151870728,0.8477558493614197,0.8055902719497681,1600,0.010228244587779045,0.7798686623573303,21,20,0.6539168953895569,0.6815709471702576,0.7501364946365356,0.6815709471702576,0.48034974932670593,25600,0.0018335405038669705,0.7480117678642273,98,29,0.2757008671760559,0.5463984608650208,0.689777135848999,0.6243224143981934,0.5363115072250366,6400,0.005015257280319929,0.8605073690414429,57,30,0.4452236294746399,0.7060970664024353,0.8364782333374023,0.7720131278038025,0.7060970664024353,1600,0.00816966313868761,0.8134787082672119,19,18,0.5831679105758667,0.6052389144897461,0.7890790104866028,0.5583996176719666,0.38785675168037415,17,14,4,35,1069.9761962890625
b1ca8418-84a133a0,25600,0.00013381108874455094,0.08706021308898926,0,0,nan,nan,0.07497318089008331,0.06463917344808578,0.05183936282992363,6400,0.0008626633789390326,0.2422156184911728,16,0,0.1931685209274292,nan,0.22044424712657928,0.17074622213840485,0.12746737897396088,1600,0.007291643880307674,0.35899078845977783,33,12,0.22293061017990112,0.31306108832359314,0.32488998770713806,0.2784759998321533,0.23469817638397217,25600,0.0001423303474439308,0.11695002019405365,1,0,0.11695002019405365,nan,0.08594091981649399,0.0647488459944725,0.05247446149587631,6400,0.0006498940056189895,0.1378011256456375,6,0,0.12324284762144089,nan,0.10635807365179062,0.08114086836576462,0.06868447363376617,1600,0.00636930949985981,0.33495965600013733,27,4,0.1852354109287262,0.2931813597679138,0.23761840164661407,0.20159664750099182,0.1755312979221344,2,2,2,6,1049.4456787109375
b1cac6a7-04e33135,25600,0.0013251715572550893,0.8173630237579346,66,46,0.4044138491153717,0.5110353231430054,0.778052031993866,0.694129467010498,0.6161340475082397,6400,0.0071288179606199265,0.9122704863548279,62,56,0.68974369764328,0.7484657168388367,0.8988917469978333,0.8902761340141296,0.8640387058258057,1600,0.008436284959316254,0.9264242649078369,20,20,0.6453821063041687,0.6453821063041687,0.9053489565849304,0.6453821659088135,0.43806251883506775,25600,0.0010976431658491492,0.748111367225647,62,26,0.30528074502944946,0.4905345141887665,0.6470595002174377,0.551385223865509,0.45718902349472046,6400,0.006494079250842333,0.9013567566871643,56,50,0.6750684380531311,0.7407845854759216,0.8864549994468689,0.8727681040763855,0.8386136293411255,1600,0.00678950035944581,0.9168437719345093,17,10,0.5808597803115845,0.9018629193305969,0.9018629193305969,0.5070855021476746,0.34895429015159607,6,6,4,16,1834.023681640625
b1cd1e94-26dd524f,25600,0.0014644506154581904,0.6932529807090759,96,34,0.28171107172966003,0.5295619368553162,0.6714606285095215,0.6111509203910828,0.5618072748184204,6400,0.0029852513689547777,0.8662372827529907,41,23,0.3825223445892334,0.5660620927810669,0.8514429330825806,0.6062594652175903,0.47566890716552734,1600,0.0008354408200830221,0.13804440200328827,3,0,0.11888047307729721,nan,0.0876510962843895,0.055864084511995316,0.04046538099646568,25600,0.0015341208782047033,0.628144383430481,113,39,0.24534015357494354,0.4213768541812897,0.5740677118301392,0.5113981366157532,0.46346649527549744,6400,0.0030925553292036057,0.7042681574821472,52,28,0.3316819965839386,0.47761139273643494,0.6433655023574829,0.5506871342658997,0.46212998032569885,1600,0.0005152516532689333,0.13707585632801056,2,0,0.12765727937221527,nan,0.0654071494936943,0.036257147789001465,0.025019992142915726,14,5,0,19,591.975341796875
b1cd1e94-549d0bfe,25600,0.0008622535387985408,0.8401597738265991,27,23,0.6055956482887268,0.6696447134017944,0.7953475117683411,0.7173783183097839,0.5534732341766357,6400,0.0032213020604103804,0.88658607006073,28,22,0.6379949450492859,0.7762635350227356,0.8747739195823669,0.8233346343040466,0.6010528206825256,1600,0.0061653852462768555,0.9246035218238831,11,10,0.8348617553710938,0.9072863459587097,0.9072863459587097,0.46801644563674927,0.3148811161518097,25600,0.0007097550551407039,0.7402716875076294,26,23,0.4402216672897339,0.4737819731235504,0.6005682349205017,0.504443883895874,0.3926578760147095,6400,0.0031575150787830353,0.846560537815094,27,26,0.6408828496932983,0.6605097651481628,0.7578434944152832,0.7083076238632202,0.5838573575019836,1600,0.006362002808600664,0.9099733829498291,11,10,0.8175337910652161,0.8860635757446289,0.8860635757446289,0.4727872908115387,0.3228554129600525,7,4,2,13,968.9968872070312
b1ceb32e-3f481b43,25600,0.000469853519462049,0.4992055296897888,21,14,0.3382430076599121,0.4179398715496063,0.47908374667167664,0.3493596613407135,0.2539280354976654,6400,0.007351022679358721,0.8653866052627563,74,59,0.5975996851921082,0.7079927921295166,0.8554348945617676,0.8472681045532227,0.8365354537963867,1600,0.0023110508918762207,0.14702002704143524,6,0,0.13516366481781006,nan,0.11910362541675568,0.09797956794500351,0.07853486388921738,25600,0.0003250009613111615,0.44650864601135254,11,9,0.35693660378456116,0.38720688223838806,0.3709131181240082,0.22416482865810394,0.1635439693927765,6400,0.006508475169539452,0.8630518913269043,63,59,0.6220022439956665,0.6528820991516113,0.8383542895317078,0.8264423608779907,0.8110543489456177,1600,0.0008198806317523122,0.0388658381998539,0,0,nan,nan,0.028145452961325645,0.023090610280632973,0.020159749314188957,2,8,0,10,5132.15625
