=== [1/2] Train: feat=both, prev_p in {0.0, 1.0}, seeds 0-4 ===
  training prev_p=0.0 seed=0 -> method02_advantage_regress_tinyConv/outputs/bdd100k/policy_both_prevpp00_s0.pt
ep   0 | train total 0.6683 acc -0.0000 flops 0.6437 p_super 0.006 || val p_super 0.001 acc -0.0000 corr 0.079  *best*
ep   1 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.006 acc -0.0001 corr 0.077
ep   2 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.015 acc 0.0001 corr 0.076
ep   3 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.024 acc 0.0000 corr 0.076
ep   4 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.028 acc -0.0004 corr 0.077
ep   5 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.028 acc -0.0003 corr 0.085  *best*
ep   6 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.028 acc -0.0002 corr 0.092  *best*
ep   7 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.027 acc 0.0001 corr 0.043
ep   8 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.026 acc -0.0002 corr 0.000
ep   9 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.026 acc 0.0000 corr 0.000
ep  10 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.026 acc 0.0001 corr 0.000
ep  11 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.026 acc -0.0003 corr 0.000
ep  12 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.025 acc -0.0001 corr 0.000
ep  13 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.024 acc 0.0004 corr 0.000
ep  14 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.024 acc -0.0002 corr 0.000
ep  15 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.024 acc -0.0002 corr 0.000
ep  16 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.024 acc -0.0000 corr 0.000
ep  17 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.023 acc -0.0001 corr 0.000
ep  18 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.023 acc -0.0002 corr -0.000
ep  19 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.023 acc 0.0001 corr -0.000
ep  20 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.022 acc 0.0001 corr 0.000
ep  21 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.022 acc 0.0001 corr 0.000
ep  22 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.022 acc 0.0004 corr 0.000
ep  23 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0003 corr 0.000
ep  24 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0002 corr 0.000
ep  25 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0001 corr 0.000
ep  26 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep  27 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0003 corr 0.000
ep  28 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0002 corr 0.000
ep  29 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep  30 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0002 corr 0.000
ep  31 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0002 corr 0.000
ep  32 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0000 corr 0.000
ep  33 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0002 corr 0.000
